Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.327162e+01  7.258821e-01  2.377631e+07  0.000000e+00
5000          -9.575332e+00  8.980392e+01  2.447128e-03  1.792845e+00  6.749428e+10  8.889791e-01
10000         -9.558428e+00  8.975501e+01  1.108170e-03  2.256523e+00  1.347997e+11  8.902247e-01
15000         -9.552801e+00  8.929636e+01  6.885529e-04  2.621223e+00  2.021494e+11  8.904455e-01
20000         -9.550005e+00  8.818790e+01  5.493164e-04  2.940255e+00  2.694439e+11  8.907383e-01
25000         -9.548318e+00  8.654765e+01  4.882812e-04  3.224403e+00  3.369321e+11  8.904020e-01
30000         -9.547174e+00  8.458365e+01  4.577637e-04  3.481972e+00  4.042780e+11  8.904913e-01
35000         -9.546337e+00  8.246360e+01  4.425049e-04  3.721899e+00  4.715792e+11  8.906395e-01
40000         -9.545691e+00  8.029950e+01  4.348755e-04  3.944850e+00  5.389144e+11  8.906944e-01
45000         -9.545179e+00  7.815659e+01  4.272461e-04  4.155830e+00  6.062187e+11  8.907825e-01
50000         -9.544758e+00  7.607373e+01  4.119873e-04  4.348683e+00  6.735677e+11  8.907938e-01
