Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.277608e+01  2.180849e+00  7.499360e+05  0.000000e+00
5000          -7.203622e+00  4.019720e+01  4.821777e-03  1.017348e+01  1.538470e+09  7.800088e-01
10000         -7.112661e+00  2.564828e+01  1.722336e-03  1.068093e+01  2.891782e+09  8.299518e-01
15000         -7.084485e+00  1.952875e+01  8.831024e-04  9.725086e+00  4.244943e+09  8.480822e-01
20000         -7.090682e+00  1.596272e+01  5.884171e-04  8.492327e+00  5.597552e+09  8.575321e-01
25000         -7.108201e+00  1.364211e+01  4.510880e-04  7.314929e+00  6.950595e+09  8.632498e-01
30000         -7.127911e+00  1.362232e+01  3.690720e-04  6.272055e+00  8.303702e+09  8.670976e-01
35000         -7.146614e+00  1.360355e+01  3.089905e-04  5.370455e+00  9.656233e+09  8.699189e-01
40000         -7.163333e+00  1.358677e+01  2.613068e-04  4.597832e+00  1.100925e+10  8.720086e-01
45000         -7.177908e+00  1.357215e+01  2.217293e-04  3.937894e+00  1.236206e+10  8.736553e-01
50000         -7.190468e+00  1.355955e+01  1.888275e-04  3.374978e+00  1.371454e+10  8.749983e-01
